Left_x,Left_y,Right_x,Right_y,time(s),Encoder,Scissor_metric
-0.319830776,0.061234109,-0.492191811,-0.084775438,0.0097332,0.507436163,0.172361035
-0.319830776,0.061234109,-0.492191811,-0.084775438,0.012238741,0.507436163,0.172361035
-0.319830776,0.061234109,-0.492191811,-0.084775438,0.116987228,0.543882119,0.172361035
-0.319830776,0.061234109,-0.492191811,-0.084775438,0.218148232,0.559560434,0.172361035
-0.374030545,0.067511817,-0.297835454,-0.084854811,0.321173429,0.566488461,-0.076195091
-0.374030545,0.067511817,-0.297835454,-0.084854811,0.412733078,0.594085608,-0.076195091
-0.429807444,0.079583988,-0.286611837,-0.071183821,0.513972044,0.622634941,-0.143195607
-0.455221138,0.080383171,-0.281532332,-0.064583292,0.612323999,0.667470067,-0.173688806
-0.455221138,0.080383171,-0.281532332,-0.064583292,0.712526798,0.685643792,-0.173688806
-0.459890365,0.084988987,-0.280481715,-0.065237046,0.817539454,0.697628252,-0.179408651
-0.453980383,0.08360479,-0.320313888,-0.081935591,0.918925762,0.722664333,-0.133666495
-0.453980383,0.08360479,-0.320313888,-0.081935591,1.014344931,0.737029315,-0.133666495
-0.402924124,0.186409907,-0.359820276,-0.006852284,1.113008499,0.744564763,-0.043103848
-0.402924124,0.186409907,-0.359820276,-0.006852284,1.214428902,0.784294137,-0.043103848
-0.2797414,0.069069114,-0.427920922,-0.08351434,1.312887669,0.805554282,0.148179521
-0.2857042,0.058936603,-0.47587267,-0.087537919,1.415238857,0.834021519,0.19016847
-0.2857042,0.058936603,-0.47587267,-0.087537919,1.512030602,0.846810441,0.19016847
-0.2857042,0.058936603,-0.47587267,-0.087537919,1.616420507,0.852835514,0.19016847
-0.2857042,0.058936603,-0.47587267,-0.087537919,1.713351488,0.856693546,0.19016847
-0.2857042,0.058936603,-0.47587267,-0.087537919,1.816654205,0.862308197,0.19016847
-0.392914002,0.0817961,-0.260083927,-0.067673104,2.07913208,0.913250449,-0.132830076
-0.457263604,0.086203064,-0.277134261,-0.068055532,2.081942558,0.913250449,-0.180129342
-0.457263604,0.086203064,-0.277134261,-0.068055532,2.112304926,0.913250449,-0.180129342
-0.492400158,0.081917479,-0.293502628,-0.064430428,2.213707924,0.928206426,-0.198897531
-0.492400158,0.081917479,-0.293502628,-0.064430428,2.312270403,0.928206426,-0.198897531
-0.500911801,0.08865962,-0.357660339,-0.084017745,2.418929577,0.915039917,-0.143251462
-0.500911801,0.08865962,-0.357660339,-0.084017745,2.521635771,0.892203742,-0.143251462
-0.361701441,0.086587814,-0.411652871,-0.080945199,2.623545408,0.871436115,0.049951431
-0.281845739,0.065900796,-0.462083504,-0.079854481,2.717843056,0.867857177,0.180237765
-0.281845739,0.065900796,-0.462083504,-0.079854481,2.817287445,0.882665388,0.180237765
-0.295162729,0.059612776,-0.499994034,-0.090209962,2.918915987,0.934674756,0.204831305
-0.295162729,0.059612776,-0.499994034,-0.090209962,3.016000271,0.92723783,0.204831305
-0.295162729,0.059612776,-0.499994034,-0.090209962,3.114763737,0.914465333,0.204831305
-0.348993084,0.07299164,-0.276169424,-0.081099682,3.212574482,0.916107035,-0.07282366
-0.348993084,0.07299164,-0.276169424,-0.081099682,3.317497492,0.921311264,-0.07282366
-0.348993084,0.07299164,-0.276169424,-0.081099682,3.41835022,0.929240722,-0.07282366
-0.348993084,0.07299164,-0.276169424,-0.081099682,3.518854618,0.964044962,-0.07282366
-0.348993084,0.07299164,-0.276169424,-0.081099682,3.611813307,0.964044962,-0.07282366
-0.478047346,0.087161871,-0.307968664,-0.075752302,3.712107658,0.975816028,-0.170078682
-0.428609055,0.087578345,-0.376625331,-0.089869136,3.821371078,0.975027991,-0.051983724
-0.428609055,0.087578345,-0.376625331,-0.089869136,3.918781281,0.966228413,-0.051983724
-0.32722287,0.073699409,-0.435322395,-0.083859351,4.017199993,0.960761515,0.108099526
-0.32722287,0.073699409,-0.435322395,-0.083859351,4.12407279,0.965555308,0.108099526
-0.284494878,0.066640724,-0.489888854,-0.081626737,4.219541311,0.980002371,0.205393976
-0.284494878,0.066640724,-0.489888854,-0.081626737,4.31627202,0.985699118,0.205393976
-0.284494878,0.066640724,-0.489888854,-0.081626737,4.412102461,0.985699118,0.205393976
-0.319340249,-0.012583613,-0.466113435,-0.029436475,4.512511969,0.936464225,0.146773186
-0.381818509,0.069741606,-0.264706749,-0.082945666,4.612281799,0.933837502,-0.11711176
-0.381818509,0.069741606,-0.264706749,-0.082945666,4.713858128,0.933837502,-0.11711176
-0.444633937,0.083966978,-0.294739809,-0.069413612,4.820249796,0.942801228,-0.149894129
-0.444633937,0.083966978,-0.294739809,-0.069413612,4.913578987,0.942801228,-0.149894129
-0.444633937,0.083966978,-0.294739809,-0.069413612,5.015797615,0.954785703,-0.149894129
-0.492604265,0.071272032,-0.334782812,-0.092692256,5.121094942,0.950845603,-0.157821453
-0.492604265,0.071272032,-0.334782812,-0.092692256,5.21528101,0.950845603,-0.157821453
-0.381301834,0.087959576,-0.396926863,-0.081475346,5.483374119,0.916944289,0.015625028
-0.292452922,0.060479518,-0.445815448,-0.08627177,5.486661911,0.916944289,0.153362525
-0.292452922,0.060479518,-0.445815448,-0.08627177,5.511865377,0.916944289,0.153362525
-0.283877569,0.059978455,-0.489271457,-0.092690382,5.613313198,0.921623193,0.205393888
-0.283877569,0.059978455,-0.489271457,-0.092690382,5.718200445,0.938598474,0.205393888
-0.287868133,0.061709481,-0.427924485,-0.096257056,5.831745148,0.945477211,0.140056351
-0.297794623,-2.73E-05,-0.425403983,-0.01733523,5.917361259,0.946281659,0.12760936
-0.297794623,-2.73E-05,-0.425403983,-0.01733523,6.01874876,0.95197842,0.12760936
-0.391894591,0.093770307,-0.269365763,-0.056601048,6.151508093,0.998980558,-0.122528828
-0.459925122,0.092350885,-0.271130516,-0.063029027,6.220709801,0.998980558,-0.188794606
-0.459925122,0.092350885,-0.271130516,-0.063029027,6.312598228,1.005974242,-0.188794606
-0.481351067,0.085333099,-0.297031548,-0.063519758,6.422199249,1.01940342,-0.184319519
-0.481351067,0.085333099,-0.297031548,-0.063519758,6.520752192,1.027546302,-0.184319519
-0.418567563,0.071114775,-0.378547359,-0.102028846,6.617690802,1.032438601,-0.040020204
-0.304417691,0.072905941,-0.433585666,-0.078557385,6.713668585,1.038956221,0.129167974
-0.304417691,0.072905941,-0.433585666,-0.078557385,6.81703639,1.027086634,0.129167974
-0.269429974,0.057872407,-0.486517224,-0.07960861,6.912641048,1.032947544,0.217087249
-0.284255084,0.053807938,-0.492855626,-0.097514219,7.014585257,1.047279662,0.208600543
-0.284255084,0.053807938,-0.492855626,-0.097514219,7.112464905,1.064386298,0.208600543
-0.325616142,-0.001882805,-0.466059101,-0.026867948,7.212919712,1.054355441,0.140442959
-0.325616142,-0.001882805,-0.466059101,-0.026867948,7.314181089,1.033669896,0.140442959
-0.402603631,0.07172694,-0.288444379,-0.077598316,7.419739246,1.023376383,-0.114159251
-0.478048088,0.079507047,-0.304579818,-0.068672681,7.518413782,1.023376383,-0.17346827
-0.478048088,0.079507047,-0.304579818,-0.068672681,7.618376255,1.015611073,-0.17346827
-0.516041766,0.083140406,-0.300467892,-0.056404811,7.718036413,1.004693673,-0.215573874
-0.509332681,0.083058005,-0.351925356,-0.082878813,7.811929464,0.993250962,-0.157407325
-0.509332681,0.083058005,-0.351925356,-0.082878813,7.917104483,0.98548568,-0.157407325
-0.383497039,0.067574665,-0.417670289,-0.099781776,8.020171404,0.98548568,0.034173249
-0.383497039,0.067574665,-0.417670289,-0.099781776,8.116491795,0.980150138,0.034173249
-0.295281539,0.062518464,-0.459926578,-0.082684697,8.218646526,0.990148174,0.164645039
-0.305344104,0.060141212,-0.49073955,-0.0915904,8.318245649,0.990148174,0.185395446
-0.305344104,0.060141212,-0.49073955,-0.0915904,8.419850826,1.007927888,0.185395446
-0.305344104,0.060141212,-0.49073955,-0.0915904,8.512156248,1.007927888,0.185395446
-0.36510331,0.071045981,-0.27209647,-0.07436077,8.612201691,1.00126253,-0.09300684
-0.36510331,0.071045981,-0.27209647,-0.07436077,8.712223053,1.001689377,-0.09300684
-0.451835735,0.096929985,-0.295353922,-0.05602735,8.818313837,1.001689377,-0.156481813
-0.451835735,0.096929985,-0.295353922,-0.05602735,8.92291379,1.006351843,-0.156481813
-0.451835735,0.096929985,-0.295353922,-0.05602735,9.01783824,1.011900823,-0.156481813
-0.498507131,0.091047322,-0.312247674,-0.068646619,9.117022038,1.014396233,-0.186259457
-0.498507131,0.091047322,-0.312247674,-0.068646619,9.2171731,1.006598101,-0.186259457
-0.384437974,0.07094648,-0.40319242,-0.098117729,9.312120199,0.998882037,0.018754447
-0.384437974,0.07094648,-0.40319242,-0.098117729,9.413169622,1.01139188,0.018754447
-0.293973789,0.07709402,-0.455044698,-0.079243745,9.512763023,1.025018071,0.161070909
-0.296649837,0.064974541,-0.487907708,-0.083986592,9.618476391,1.048100534,0.191257871
-0.296649837,0.064974541,-0.487907708,-0.083986592,9.720841169,1.039974077,0.191257871
-0.296649837,0.064974541,-0.487907708,-0.083986592,9.812244654,1.048543748,0.191257871
-0.296649837,0.064974541,-0.487907708,-0.083986592,9.91509366,1.049955631,0.191257871
-0.296649837,0.064974541,-0.487907708,-0.083986592,10.01708055,1.049725826,0.191257871
-0.443054443,0.094780319,-0.289971027,-0.057550611,10.11206484,1.042059037,-0.153083416
-0.443054443,0.094780319,-0.289971027,-0.057550611,10.21231794,1.042453033,-0.153083416
-0.504097216,0.090904298,-0.298906313,-0.05352332,10.31940699,1.04294558,-0.205190903
-0.504097216,0.090904298,-0.298906313,-0.05352332,10.41987252,1.0373966,-0.205190903
-0.504097216,0.090904298,-0.298906313,-0.05352332,10.51432586,1.04107403,-0.205190903
-0.416932032,0.09086637,-0.405679065,-0.07464446,10.63154817,1.037938364,-0.011252967
-0.314550108,0.08317665,-0.461218871,-0.062239649,10.71191144,1.048757215,0.146668764
-0.314550108,0.08317665,-0.461218871,-0.062239649,10.81247425,1.049184062,0.146668764
-0.300313776,0.079407722,-0.499390215,-0.063968954,10.91215301,1.058180638,0.199076439
-0.300313776,0.079407722,-0.499390215,-0.063968954,11.01191545,1.065995136,0.199076439
-0.300313776,0.079407722,-0.499390215,-0.063968954,11.11372042,1.066783159,0.199076439
-0.34322762,0.076320544,-0.274417636,-0.073526889,11.22045422,1.071626212,-0.068809984
-0.34322762,0.076320544,-0.274417636,-0.073526889,11.32023525,1.071626212,-0.068809984
-0.416089873,0.112213544,-0.286854173,-0.043041485,11.42057896,1.066126478,-0.1292357
-0.416089873,0.112213544,-0.286854173,-0.043041485,11.51258492,1.058886564,-0.1292357
-0.416089873,0.112213544,-0.286854173,-0.043041485,11.6183579,1.065798181,-0.1292357
-0.487701544,0.099988329,-0.30100288,-0.066752178,11.71208858,1.071938171,-0.186698664
-0.391434315,0.089559903,-0.384797472,-0.081355012,11.82315016,1.069787511,-0.006636843
-0.391434315,0.089559903,-0.384797472,-0.081355012,11.92448401,1.067127938,-0.006636843
-0.296547265,0.069263078,-0.442771151,-0.079574457,12.01441717,1.059461178,0.146223886
-0.296547265,0.069263078,-0.442771151,-0.079574457,12.11830544,1.059789504,0.146223886
-0.280171434,0.060447791,-0.491425549,-0.081643743,12.21988893,1.065059404,0.211254115
-0.280171434,0.060447791,-0.491425549,-0.081643743,12.31752014,1.069820361,0.211254115
-0.280171434,0.060447791,-0.491425549,-0.081643743,12.41279507,1.063253496,0.211254115
