Left_x,Left_y,Right_x,Right_y,time(s),Encoder,Scissor_metric
-0.36022701,0.076791895,-0.326317944,-0.082650025,0.01301837,0.487637125,-0.033909066
-0.36022701,0.076791895,-0.326317944,-0.082650025,0.016320705,0.487637125,-0.033909066
-0.376414516,0.102646185,-0.293922508,-0.05403153,0.300015211,0.503118448,-0.082492008
-0.412009341,0.106141959,-0.288092924,-0.045791857,0.303320169,0.503118448,-0.123916417
-0.412009341,0.106141959,-0.288092924,-0.045791857,0.315367699,0.503118448,-0.123916417
-0.434147739,0.110768282,-0.292710795,-0.032665209,0.415802956,0.511721013,-0.141436944
-0.434147739,0.110768282,-0.292710795,-0.032665209,0.51978159,0.517204336,-0.141436944
-0.459505348,0.11432128,-0.297789687,-0.034220414,0.625518322,0.521833937,-0.161715661
-0.469208024,0.101007876,-0.302944076,-0.054323431,0.719931841,0.521292173,-0.166263948
-0.469208024,0.101007876,-0.302944076,-0.054323431,0.816216707,0.526233733,-0.166263948
-0.436838318,0.101851493,-0.336796841,-0.066832799,0.915306807,0.526233733,-0.100041477
-0.339945009,0.099745036,-0.382310683,-0.061588391,1.036763191,0.534737791,0.042365674
-0.339945009,0.099745036,-0.382310683,-0.061588391,1.133209705,0.536609341,0.042365674
-0.295750397,0.087228456,-0.405063478,-0.059154223,1.222385406,0.556900875,0.109313081
-0.295750397,0.087228456,-0.405063478,-0.059154223,1.315947771,0.572283685,0.109313081
-0.282326231,0.07193401,-0.432262147,-0.068858832,1.419096231,0.588224684,0.149935916
-0.288857621,0.06671401,-0.458207045,-0.073213445,1.520187378,0.610404208,0.169349423
-0.288857621,0.06671401,-0.458207045,-0.073213445,1.626872301,0.605725332,0.169349423
-0.303988474,0.072760628,-0.458139942,-0.06600433,1.715312481,0.596548168,0.154151468
-0.303988474,0.072760628,-0.458139942,-0.06600433,1.815196514,0.580492238,0.154151468
-0.303988474,0.072760628,-0.458139942,-0.06600433,1.918684244,0.573055297,0.154151468
-0.376360338,0.066204361,-0.315920881,-0.080989336,2.022783518,0.542650853,-0.060439457
-0.376360338,0.066204361,-0.315920881,-0.080989336,2.129655838,0.545704423,-0.060439457
-0.396361873,0.077501185,-0.273800439,-0.068098207,2.243404388,0.590096263,-0.122561435
-0.434506677,0.087571075,-0.283937207,-0.064444329,2.318678379,0.596581018,-0.15056947
-0.434506677,0.087571075,-0.283937207,-0.064444329,2.415538311,0.608384919,-0.15056947
-0.462169201,0.094873736,-0.294075098,-0.049606075,2.51760006,0.629710721,-0.168094103
-0.474239471,0.095470677,-0.308617445,-0.06886512,2.616648436,0.629710721,-0.165622026
-0.474239471,0.095470677,-0.308617445,-0.06886512,2.715681791,0.628824191,-0.165622026
-0.463422889,0.087618431,-0.346114444,-0.084290375,2.823092222,0.628824191,-0.117308444
-0.3909627,0.080306737,-0.380130243,-0.088342094,2.941908598,0.619893287,-0.010832457
-0.3909627,0.080306737,-0.380130243,-0.088342094,3.036890745,0.600898704,-0.010832457
-0.329117151,0.079566748,-0.412894194,-0.079710385,3.119609594,0.607416294,0.083777043
-0.329117151,0.079566748,-0.412894194,-0.079710385,3.21603322,0.621846919,0.083777043
